的;de;indicates possession, like adding 's to a noun
我;wǒ;I, me
你;nǐ;you (singular)
是;shì;be, is, are, am
了;le;indicates a completed or finished action
不;bù;no, not
在;zài;at, on, in, indicates an action in progress
他;tā;he, him
我们;wǒmen;we, us
好;hǎo;good
有;yǒu;have
这;zhè;this
会;huì;know how to
吗;ma;indicates a yes/no question (added to a statement)
什么;shénme;what? (replaces the noun to turn a statement into a question)
说;shuō;speak
她;tā;she
想;xiǎng;think, believe, suppose, would like to
一;yī;one, once, a
很;hěn;very, quite
人;rén;person, man, people
那;nà;that, then
来;lái;come, arrive, ever since, next
都;dōu;all, both
个;ge;general measure word
能;néng;can, be able
去;qù;go, to leave
和;hé;and, with
做;zuò;do, make
上;shàng;above, up
没有;méiyǒu;not have, there is not
看;kàn;see, look at, to watch
怎么;zěnme;how?
现在;xiànzài;now
点;diǎn;a dot, a little, o'clock
呢;ne;indicates a question, how about...?,
太;tài;too (much)
里;lǐ;inside, Chinese mile (~.5 km)
听;tīng;listen, hear
谁;shéi;who
多;duō;many
时候;shíhou;time
下;xià;fall, below
谢谢;xièxie;thank you
先生;xiānsheng;Mr., Sir
喜欢;xǐhuan;to like
大;dà, dài;big, large
东西;dōngxi;things, stuff
小;xiǎo;small, young
叫;jiào;to be called
爱;ài;love
年;nián;year
请;qǐng;please, invite, to treat someone to something
回;huí;to return, to reply, to go back
工作;gōngzuò;work, a job
钱;qián;money, coin
吃;chī;eat
开;kāi;to open, to start, to operate (a vehicle)
家;jiā;family, home
哪;nǎa;which, how
朋友;péngyou;friend
妈妈;māma;mom, mum
今天;jīntiān;today
几;jǐ;how many, several, a few
爸爸;bàba;Dad
些;xiē;some, few, several
怎么样;zěnmeyàng;how about?, how is/was it?
对不起;duìbuqǐ;sorry
住;zhù;to live, reside, to stop
三;sān;three
高兴;gāoxìng;happy, glad
买;mǎi;to buy
医生;yīshēng;doctor
哪儿;nǎr;where? (Beijing accent)
字;zì;letter, character
名字;míngzi;name
认识;rènshi;recognize, know (a person)
坐;zuò;sit
喝;hē;to drink
写;xiě;to write, to compose
月;yuè;moon, month, flesh (radical)
号;hào;number, day of a month
狗;gǒu;dog
岁;suì;years old, age
看见;kànjiàn;see, catch sight of
打电话;dǎ diànhuà;make a phone call
喂;wèi;hello (on the phone)
儿子;érzi;son
漂亮;piàoliang;pretty, beautiful
分钟;fēnzhōng;minute, (measure word for time)
再见;zàijiàn;goodbye, see you later
本;běn;measure word for books
明天;míngtiān;tomorrow
少;shǎo;few, little
多少;duōshao;how much?, how many?
块;kuài;lump, piece, sum of money
女儿;nǚ'ér;daughter
小姐;xiǎojie;young lady, miss, Ms.
衣服;yīfu;clothes
水;shuǐ;water
学校;xuéxiào;school
电影;diànyǐng;movie, film
书;shū;book, letter
四;sì;four
五;wǔ;five
医院;yīyuàn;hospital
没关系;méi guānxi;it doesn't matter, never mind
飞机;fēijī;airplane
二;èr;two
电视;diànshì;television, TV
读;dú;to read, to study
后面;hòumian;back, behind
昨天;zuótiān;yesterday
睡觉;shuì jiào;to sleep, go to bed
六;liù;six
老师;lǎoshī;teacher
星期;xīngqī;week
十;shí;ten
猫;māo;cat
电脑;diànnǎo;computer
热;rè;heat, hot
学生;xuésheng;student
下午;xiàwǔ;afternoon
学习;xuéxí;learn, to study
冷;lěng;cold
不客气;bú kèqi;you're welcome, don't be polite
前面;qiánmiàn;in front
八;bā;eight
中国;Zhōngguó;China
七;qī;seven
菜;cài;dish (type of food), vegetables
桌子;zhuōzi;table, desk
出租车;chūzūchē;taxi, cab
天气;tiānqì;weather
茶;chá;tea
九;jiǔ;nine
商店;shāngdiàn;shop, store
椅子;yǐzi;chair
同学;tóngxué;fellow student, schoolmate
一点儿;yìdiǎnr;a bit, a few
苹果;píngguǒ;apple
饭店;fàndiàn;restaurant, hotel
中午;zhōngwǔ;noon, midday
上午;shàngwǔ;late morning (before noon)
水果;shuǐguǒ;fruit
杯子;bēizi;cup, glass
下雨;xiàyǔ;to rain
米饭;mǐfàn;(cooked) rice
北京;Běijīng;Beijing
汉语;Hànyǔ;Chinese language
