哦;ò, ó, é;oh (indicates understanding) | oh (indicates doubt) | to chant
嘿;hēi;hey, interjection for calling attention
嗨;hāi;hey/hi (loanword), oh, alas,
嘛;ma, má;(used to persuade somebody to do something), (particle indicating obviousness) | (colloqial) what?
家伙;jiāhuo;guy, chap, tool, weapon
啦;la, lā, lá;sentence-final particle: a contraction of 了 (le) and 啊 (a), (onomatopoeia)
喂;wèi, wéi;hey, to feed | hello (on the phone)
哇;wā, wa;wow, (sound of crying or vomiting) | (used for 啊 after words ending with u or ao)
拜托;bàituō;ask a favor, request, please!
而已;éryǐ;that's all, nothing more
夫人;fūrén;lady, madam, Mrs., wife
尸体;shītǐ;dead body, corpse, carcass
现场;xiànchǎng;scene (of event or incident), on the spot
监狱;jiānyù;prison, jail
啥;shá;(spoken) what
死亡;sǐwáng;to die, death, be dead
拥有;yōngyǒu;have, possess
凶手;xiōngshǒu;murderer, assassin, assailant
屁股;pìgu;butt, rear, rump
选手;xuǎnshǒu;athlete, contestant, player
投票;tóupiào;vote, poll
撒谎;sā huǎng;to tell lies
武器;wǔqì;weapon, arms
发誓;fāshì;to vow, to pledge, swear
心眼儿;xīnyǎnr;one's thoughts, mind, intention, willingness to accept new ideas
意识;yìshi;realize, consciousness, awareness, sense
线索;xiànsuǒ;trail, clues, hints, thread (of a story)
砸;zá;to smash, to pound, to break, fail
失踪;shī zōng;be missing, be unaccounted for
真相;zhēnxiàng;the actual facts, reality
恐怖;kǒngbù;afraid, terror
性感;xìnggǎn;sex appeal, sexy, sexuality
意味着;yìwèizhe;signify, to mean, imply
交易;jiāoyì;business transaction, deal, trade
恶心;ěxin;disgusting, nauseous, make somebody embarrassed (èxīn: bad/vicious habit, vice)
舞蹈;wǔdǎo;a dance
副;fù;vice-, secondary, auxiliary, deputy, assistant, classifier for pairs (i.e. glasses)
事件;shìjiàn;event, happening, incident
攻击;gōngjī;to attack, accuse, to charge
试图;shìtú;to try, to attempt
淘汰;táotài;eliminate (in a competition), natural selection, die/phase out
子弹;zǐdàn;bullet, cartridge
毒品;dúpǐn;drugs, narcotics, poison
袭击;xíjī;surprise attack, to raid
灵魂;línghún;soul, spirit, conscience
爆炸;bàozhà;explode, explosion, blow up
玩意儿;wányìr;thing, toy, gadget
盯;dīng;to stare, to gaze
愚蠢;yúchǔn;silly, stupid
跟踪;gēnzōng;follow somebody's tracks, tail, shadow
绑架;bǎngjià;kidnap, stalking
客户;kèhù;customer, account, client
将军;jiāngjūn;a general (military officer)
州;zhōu;province, sub-prefecture, (United States) state
毫无;háo wú;not at all, completely without, not in the least
逮捕;dàibǔ;to arrest, to capture
成员;chéngyuán;member
监视;jiānshì;oversee, to monitor
警告;jǐnggào;to warn, admonish
尝试;chángshì;to try, attempt
搭;dā;to erect, to build, travel by (car, plane, etc.), to hang, to join
搭档;dādàng;team up, cooperate, work together
对付;duìfu;to handle, deal with
荣幸;róngxìng;honored
队伍;duìwu;ranks, troops
同志;tóngzhì;comrade, gay (slang)
偶像;ǒuxiàng;Idol
军队;jūnduì;army troops
侦探;zhēntàn;detective
确保;quèbǎo;ensure, guarantee
耍;shuǎ;play/mess around with, juggle
战斗;zhàndòu;to fight, to battle, to struggle
展示;zhǎnshì;open up, reveal, to display
进展;jìnzhǎn;make progress, development, make headway
乐意;lèyì;be happy/willing do something, content, satisfied
丢三落四;diūsān làsì;forgetful, scatterbrained
解雇;jiěgù;fire, lay off, dismiss from
时光;shíguāng;time, era, period of time
无辜;wúgū;innocent
恐惧;kǒngjù;fear, dread, phobia
惊讶;jīngyà;surprised, astonished, astound
事业;shìyè;undertaking, project, cause, enterprise
不可思议;bùkěsīyì;unimaginable, inconceivable
案件;ànjiàn;legal case, judicial case
档案;dàng'àn;file, record, archive
