要不然;yàoburán;в противном случае, иначе;
亲身;qīnshēn;лично, сам, личный, собственный;
功课;gōngkè;урок, занятие;作功课 [zuò gōngkè] — готовить [делать] уроки
狼;láng;волк, волчий;
拨打;bōdǎ;звонить (по телефону);
食品;shípǐn;продукты (питания), пищевые продукты;罐头食品 [guàntou shípǐn] — консервированные продукты; 食品店 [shípǐndiàn] — продовольственный магазин
碧玉;bìyù;яшма;
予以;yǔyǐ;дать, оказать (напр., поддержку);予以批评 подвергать критике
踌躇;chóuchú;колебаться, быть в нерешительности, мяться;踌躇不前 [chóuchú bùqián] — топтаться на месте (в нерешительности)
氢;qīng;водород;
力图;lìtú;всячески стремиться, изо всех сил стараться;
甘心;gānxīn;по доброй воле, с радостью (что-либо делать);
致力于;zhìlìyú;преследовать (задачи), посвятить (силы);
总合;zǒnghé;совокупность, цельность, комплекс, общий, всеобъемлющий;总合能率 промышленный коэффициент полезного действия
请客;qǐngkè;приглашать гостей, угощать;今天是我请客 [jīntiān shì wǒ qǐngkè] — сегодня угощаю я
排球;páiqiú;волейбол;
本着;běnzhe;на основании, в соответствии с…;
男人;nánrén;мужчина;
专科;zhuānkē;специальный предмет, спецкурс;
三角;sānjiǎo;треугольник, треугольный;
刚刚;gānggāng;только что, только-только;
碰见;pèngjiàn;встретить(ся) (случайно);
赞同;zàntóng;одобрить, поддержать;
乘务员;chéngwùyuán;кондуктор, проводник;
反倒;fǎndào;опрокинуться, наоборот, напротив;不但 …, 反倒 … не только …, но, напротив, ещё и…
务实;wùshí;заниматься практической стороной дела;
划船;huáchuán;грести, сидеть на вёслах;
鞋;xié;туфли, ботинки, обувь;女鞋 [nǚxié] — женские туфли [ботинки]
摔;shuāi;упасть, грохнуться, бросать, швырять;从马上摔下来 [cóng mǎshang shuāixialai] — упасть [свалиться] с лошади
合身;héshēn;быть по фигуре, подходить, впору (об одежде);
罐头;guàntou;консервы в банках, консервированный, консервный;
都市;dūshì;город, торговый центр, городской;
费用;fèiyòng;издержки, затраты, расходы;
摄取;shèqǔ;усваивать (напр., пищу), воспринимать, фотографировать(ся);摄取食物 [shèqǔ shíwù] — усваивать пищу
迷失;míshī;сбиться (с пути), сериал LOST (2004-2010 гг.);迷失方向 [míshī fāngxiàng] — потерять направление
挣钱;zhèngqián;зарабатывать;
民用;mínyòng;гражданский;
不好意思;bùhǎoyìsi;неловко, неудобно, стесняться;他不好意思再问 [tā bùhǎoyìsi zàiwèn] — он постеснялся переспросить
小偷;xiǎotōu;вор, мелкий жулик;小偷小摸 [xiǎotōu xiǎomō] — заниматься мелким воровством, мелкие кражи
红包;hóngbāo;«хунбао», красный конверт, в котором дарят деньги;
戒烟;jièyān;бросить курить;
无可奉告;wúkěfènggào;без комментариев;
唾沫;tuòmo;слюна;
必定;bìdìng;обязательно, непременно, неизбежно;
以后;yǐhòu;после, потом, после того, как;
幸好;xìnghǎo;к счастью, хорошо, что;
一路平安;yīlùpíngān;на всём пути благополучие!, доброго пути!;
可笑;kěxiào;смешной, смехотворный;
终年;zhōngnián;весь [круглый] год, скончаться в возрасте…;他终年七十岁 [tā zhōngnián qīshí suì] — он скончался в возрасте семидесяти лет
数目;shùmù;число, количество, сумма;
吞咽;tūnyàn;глотать;
轻而易举;qīng ér yì jǔ;проще простого, очень легко, просто и легко;
无可奈何;wúkě nàihé;ничего не поделаешь, волей-неволей;
班主任;bān zhǔrén;классный руководитель;
没;méi;отрицательная частица;他昨天没来过 [tā zuótiān méi láiguo] — он вчера не приходил
勤恳;qínkěn;усердный, старательный;
继往开来;jìwǎngkāilái;продолжать начатое дело, принять эстафету;
品行;pǐnxíng;поступки, поведение;
放手;fàngshǒu;выпустить из рук;放手不管 [fàngshǒu bùguǎn] — пустить на самотёк
兴趣;xìngqù;интерес;不感兴趣 [bùgǎn xìngqù] — не испытывать интереса
修;xiū;ремонтировать, исправлять, чинить, строить, сооружать;修表 [xiū biǎo] — чинить часы; 修桥 [xiū qiáo] — строить [сооружать] мост
公婆;gōngpó;свёкор и свекровь;
招投标;zhāotóubiāo;тендер, торги;
做东;zuòdōng;выступать в качестве хозяина, угощать;
露;lù;показаться, появиться, роса;面露笑容 [miàn lù xiàoróng] — на лице появилась улыбка; 露珠 [lùzhū] — капли росы
发火;fāhuǒ;воспламениться, загореться, вспылить, разозлиться;
预赛;yùsài;отборочные соревнования;
女人;nǚrén;женщина;女人裸体画 жив. ню (изображение обнажённого женского тела)
抽空;chōukòng;выкроить время;
池子;chízi;бассейн (в бане);
健身房;jiànshēnfáng;спортзал, тренажёрный зал;
连续剧;liánxùjù;сериал;
依次;yīcì;в порядке очереди, по порядку;
滑冰;huábīng;кататься на коньках;花样滑冰 [huáyàng huábīng] — фигурное катание ; 滑冰冰场 [huábīngchǎng] — каток
河;hé;река, речной;过河 [guòhé] — переправиться через реку
明信片;míngxìnpiàn;открытка;
停止;tíngzhǐ;прекратить, остановить, положить конец;
弯;wān;изогнутый, кривой, извилистый, изгибать, сгибать;弯腰 [wānyào] — нагнуться; 把铁丝弯过来 [bǎ tiěsī wānguolai] — согнуть [изогнуть] проволоку
时装;shízhuāng;модная одежда, моды;时装表演 [shízhuāng biǎoyǎn] — показ мод
占有;zhànyǒu;владеть, обладать;
门诊;ménzhěn;амбулаторный приём, амбулаторный;
缩小;suōxiǎo;уменьшить(ся), сократить(ся);
孤单;gūdān;одинокий, одиночество;
传递;chuándì;передавать;传递信息 [chuándì xìnxī] — передавать информацию; 传递信件 [chuándì xìnjiàn] — передавать [доставлять] письма
看来;kànlai;как видно, по-видимому;以我看來 по моему мнению
硬币;yìngbì;металлические деньги, монета;
祝;zhù;желать (напр., счастья), поздравлять;祝你健康 [zhù nǐ jiànkāng] — желаю вам здоровья
字典;zìdiǎn;словарь;
反动;fǎndòng;реакционный, реакция;反动势力 [fǎndòng shìlì] — реакционные силы
蒙;méng;закрыть, накрыть(ся), покрыть;蒙上一张纸 [méngshang yī zhāng zhǐ] — закрыть [покрыть] листом бумаги
神情;shénqíng;выражение лица, вид;
