的;de;суффикс прилагательного, суффикс притяжательности;大的 [wèidàde] — великий; 父亲的话 [fùqīnde huà] — слова отца
我;wǒ;я, мой, наш;
你;nǐ;ты, вы, твой, ваш;他不认识你 [tā bù rènshi nǐ] — он не знает тебя [Вас], он с тобой [с Вами] не знаком
是;shì;есть, быть, являться, да, правда;我是工人 [wǒ shì gōngrén] — я рабочий; 他说得是 [tā shuōde shì] — он сказал правильно
了;le;глагольный суффикс завершенности действия;我写了信就来 [wǒ xiěle xìn jiù lái] — я напишу письмо и приду
不;bù;отрицательная частица не;我不去 [wǒ bùqù] — я не пойду [не поеду]
在;zài;быть в живых, существовать, находиться, в, на;他的祖父还在 [tāde zǔfù hái zài] — его дед ещё жив; 书在桌子上 [shū zài zhuōzi shang] — книга (находится) на столе
他;tā;он, его;他是我的哥哥 [tā shì wǒde gēge] — он мой старший брат; 他弟弟 [tā dìdi] — его младший брат
我们;wǒmen;мы, наш;
好;hǎo;хороший, хорошо, приятный, удобный;一切都好 [yīqiè dōu hǎo] — всё хорошо, всё в порядке; 好听 [hǎotīng] — приятный для слуха
有;yǒu;иметь(ся), иметь в наличии, обладать, есть;我没有工夫 [wǒ méiyǒu gōngfu] — у меня нет свободного времени; 有这种可能 [yǒu zhèzhǒng kěnéng] — имеется [есть] такая возможность
这;zhè;это, этот;这是谁 ? [zhè shì shuí] — кто это?; 这小孩 [zhè xiǎohái] — этот ребёнок
会;huì;уметь, мочь, владеть, собрание, заседание;今天我们有个会 [jīntiān wǒmen yǒuge huì] — сегодня у нас собрание [заседание]; 我不会游泳 [wǒ bùhuì yóuyǒng] — я не умею плавать
吗;ma;фразовая частица, выражающая вопрос;他来了吗 ? [tā láile ma] — он пришёл?; 这件事吗 , 其实不能怪他 [zhèjiàn shì ma, qíshì bùnéng guài tā] — в этом-то он, по сути дела, и не виноват, в этом его, как раз, винить и нельзя
什么;shénme;что?, что такое?, какой?, как?;
说;shuō;[en] speak
她;tā;она, её;
想;xiǎng;думать, собираться, хотеть;想办法 [xiǎng bànfǎ] — изыскивать [обдумывать] методы [способы]; 我也想试试 [wǒ yě xiǎng shìshì] — я тоже хочу попробовать
一;yī;один, единица, первый;一次 [yī cì] — один раз; 一年 [yī nián] — один год
很;hěn;очень, весьма;很好 [hěnhǎo] — очень хорошо
人;rén;человек, люди;年轻人 [niánqīngrén] — молодой человек; 自己人 [zìjǐrén] — свой человек, свои люди
那;nà;тот, то, тогда, в таком случае;那棵树 [nàkē shù] — то дерево; 那是他的东西 [nà shì tāde dōngxi] — то — его вещи
来;lái;приходить, прибывать, приезжать;请他来 [qǐng tā lái] — попроси его прийти ; 来了一个代表团 [láile yīge dàibiǎotuán] — прибыла [приехала] делегация
都;dōu;все, всё;他们都去 [tāmen dōu qù] — они все пойдут
个;gè;универсальное сч. сл., отдельный, индивидуальный;洗个澡 [xǐgè zǎo] — помыться
能;néng;способный, способность;无能 [wúnéng] — неспособный, бесталанный
去;qù;уходить, отправляться, идти;你上那儿去 ? [nǐ shàng nǎr qù] — Куда ты идёшь?; 他开会去了 [tā kāihuì qùle] — он пошёл на собрание
和;hé;мирный, союз и, предлог с;和谈 [hétán] — мирные переговоры; 和大家一起 [hé dàjiā yīqǐ] — вместе со всеми
做;zuò;делать, изготавливать, быть [работать] кем-либо, писать;你在做什么 ? [nǐ zài zuò shénme] — что ты делаешь?; 做教员 [zuò jiàoyuán] — работать преподавателем
上;shàng;верх, прошлый, на, в;上衣 [shàngyī] — верхняя одежда; 上次 [shàngcì] — (в) прошлый раз
没有;méiyǒu;[en] not have; there is not
看;kàn;смотреть, читать (про себя), навестить;看电影 [kàn diànyǐng] — смотреть кино [фильм]; 看朋友 [kàn péngyou] — навестить друга
怎么;zěnme;как?, каким образом?;
现在;xiànzài;теперь, сейчас, ныне;
点;diǎn;капля, немножко, чуточку, точка, запятая;雨点 [yǔdiǎn] — капля дождя; 零点五 [líng diǎn wǔ] — 0,5 [ноль целых пять десятых]
