啊;a;фразовая частица восклицательных и побудительных предложений, не переводится;别忙啊 ! [biě máng a] — не торопитесь!; 快些来啊 ! [kuài xiē lái a] — приходите быстрее!
还;hái, huán;[en] still; yet; in addition; even | repay; to return
把;bǎ;держать в руках, взять(ся), сл. слово, используемое для инверсии дополнения;把着栏杆 [bǎzhe lángān] — держаться за перила; 把书拿来 [bǎ shū nálai] — принести книгу
过;guò;[en] to pass; to cross; go over; (indicates a past experience)
如果;rúguǒ;если, если бы;
只;zhī; только; лишь; всего лишь; только лишь;сч. сл. для некоторых предметов и животных; 只剩下他一个人 [zhǐ shèngxià tā yīge rén] — остался только он один; 只怕出事儿 [zhǐ pà chūshìr] — боюсь только, как бы чего не случилось;一只鞋 [yī zhī xié] — один ботинок; 一只鸡 [yī zhī jī] — одна курица
被;bèi;сл. слово для выражения пассива;树被风刮倒了 [shù bèi fēng guādǎole] — дерево повалено ветром; 他被选为代表 [tā bèi xuǎnwéi dàibiǎo] — он избран делегатом
跟;gēn;и, с, за, у;我跟他是弟兄 [wǒ gēn tā shì dìxiong] — я и он — братья; 你跟他说了没有 ? [nǐ gēn tā shuōle méiyǒu] — ты говорил с ним?
自己;zìjǐ;сам, себя, свой, собственный;自己人 [zìjǐrén] — свои люди, свой брат
用;yòng;употреблять, использовать, применять;用武器 [yòng wǔqì] — применить оружие; 用钱 [yòngqián] — расходовать деньги
像;xiàng;внешний облик, вид, иметь сходство с;
为;wèi;для, ради, за;为人民服务 [wèi rénmín fúwù] — служить народу; 为 … 而斗争 [wèi… ér dòuzhēng] — бороться за что-либо
需要;xūyào;требоваться, быть потребным, нуждаться, необходимо;
应该;yīnggāi;следует, должно, нужно, полагается;
起来;qǐlái;глагольный суффикс, указывающий на а) движение снизу вверх, б) на начало действия, в) завершённость действия;飞起来 [fēiqǐlái] — взлететь; 说起来 [shuōqǐlái] — заговорить
才;cái;только, только что, только тогда, только в этом случае;我今天才来 [wǒ jīntiān cái lái] — я прибыл только сегодня; 他才来 [tā cái lái] — он только что пришёл
又;yòu;опять, снова, да ещё, притом;今天又下雨了 [jīntiān yòu xiàyǔle] — сегодня опять идёт дождь; 他年纪大 , 又有病 [tā niánjì dà, yòu yǒubìng] — он уже не молод, да (к тому же) ещё и болен
拿;ná;брать, взять, держать;手里拿着一把扇子 [shǒuli názhe yī bǎ shànzi] — держать в руке веер; 到银行去拿钱 [dào yínháng qù ná qián] — пойти в банк за деньгами
更;gèng;ещё, ещё более, тем более;更少 [gèngshǎo] — ещё меньше; 天气变得更冷了 [tiānqì biànde gèng lěngle] — погода стала ещё более холодной
带;dài;иметь при себе, захватить [взять с собой];带雨伞 [dài yǔsǎn] — иметь при себе [захватить] зонтик
然后;ránhòu;потом, затем;
一样;yīyàng;одинаковый, такой же, как;
当然;dāngrán;конечно, естественно;
相信;xiāngxìn;верить, доверять;
认为;rènwéi;полагать, считать;
明白;míngbai;понимать, понятный, очевидный, ясный;明白人 [míngbairén] — разумный [понятливый] человек
一直;yīzhí;прямо, напрямик, всё время, всегда;
地;de;показатель обстоятельства образа действия;要实事求是地处理问题 [yào shíshì qiúshìde chǔlǐ wèntí] — необходимо по-деловому решать проблемы
地方;dìfāng;переферия, места, местный;地方自治 [dìfāng zìzhì] — местное самоуправление; 地方时 [dìfāngshí] — местное время
离开;líkāi;оставить, покинуть, уйти (из), расстаться;
一定;yīdìng;непременно, обязательно, обязательный;
还是;háishi;ещё, всё ещё;
发;fā;выпускать, испускать, выдавать, выплачивать;发光 [fāguāng] — испускать свет, светиться, блестеть; 发工资 [fā gōngzī] — выдавать зарплату
发现;fāxiàn;обнаружить, заметить;
而且;érqiě;к тому же, притом;不但 …, 而且 … [bùdàn…, érqiě…] — не только…, но и…
必须;bìxū;необходимо, должно;
放;fàng;отпускать, выпускать, освобождать, ставить, класть;放孩子们出去玩 [fàng háizimen chūqu wán] — отпустить детей погулять; 把书放在桌子上 [bǎ shū fàngzài zhuōzishang] — положить книгу на стол
为了;wèile;для, ради, в целях, для того, чтобы;
向;xiàng;быть обращённым к, направление, курс;窗子向南 [chuángzi xiàng nán] — окна выходят на юг; 向朋友借钱 [xiàng péngyou jièqián] — взять в долг у приятеля
老;lǎo;старый, уважаемый, почтенный;老人 [lǎorén] — старый человек, старик; 老大哥 [lǎodàgē] — старший брат (почтительное обращение к другу)
位;wèi;место, позиция, лицо, персона;占第位 [zhàn dì yī wèi] — занять первое место; 两位先生 [liǎng wèi xiānsheng] — два господина
先;xiān;раньше, сначала, прежде;你先一个人去 [nǐ xiān yīge rén qù] — ты сначала сходи один
种;zhǒng;семя, семена, порода, род, вид, раса;麦种 [màizhǒng] — семена пшеницы; 阿拉伯种马 [ālābó zhǒng mǎ] — лошадь арабской породы
最后;zuìhòu;самый последний, последний, конечный;
其他;qítā;прочие, другие, остальные;
记得;jìde;помнить;
或者;huòzhě;или, либо;
过去;guòqù;проходить, миновать;
担心;dānxīn;беспокоиться, тревожиться, опасаться;
条;tiáo;сч. сл. для длинных предметов;一条路 [yī tiáo lù] — (одна) дорога; 一条鱼 [yī tiáo yú] — одна рыбина
以前;yǐqián;раньше, прежде;
长;cháng, zhǎng;[en] long; length | grow; chief (Kangxi radical 168)
世界;shìjiè;вселенная, мир, мировой;世界市场 [shìjiè shìchǎng] — мировой рынок
重要;zhòngyào;важный;重要性 [zhòngyàoxìng] — важность
别人;biéren;другие, посторонние, чужие;
机会;jīhuì;удобный случай, благоприятная возможность;错过机会 [cuòguò jīhuì] — упустить удобный случай
张;zhāng;раскрывать, открывать, сч. сл. для листов, столов, кроватей;
