得;dé, děi, de;[en] obtain | must | (complement particle)
死;sǐ;смерть, умереть, погибнуть, сдохнуть, мёртвый;
干;gān;делать, заниматься (делами), сухой, сушёный;干工作 [gàn gōngzuò] — заниматься какой-либо работой, работать; 河干了 [hé gānle] — река пересохла ; 口干得很 [kǒu gānde hěn] — во рту очень сухо, во рту пересохло
而;ér;союз соединительный и, да, к тому же, союз противительный а, но;聪明而勇敢 [cōngming ér yǒnggǎn] — умный и отважный; 他要来而没有来 [tā yào lái ér méiyǒu lái] — он хотел приехать, но не приехал
等;děng;[en] to wait; rank; equal; etc.
当;dāng;быть, являться, становиться кем-либо, нести обязанности, работать кем-либо;当证人 [dāng zhèngrén] — быть свидетелем, выступать в качестве свидетеля; 当兵 [dāngbīng] — быть солдатом, служить в армии
所有;suǒyǒu;собственность, имущество;
也许;yěxǔ;возможно, может быть;
行;xíng;можно, разрешается, ладно;不行 [bùxíng] — нельзя, не полагается
不过;bùguò;однако, впрочем, всего лишь, только;他不过二十岁 [tā bùguò èrshí suì] — ему всего лишь двадцать лет
发生;fāshēng;возникнуть, случиться, произойти, возникновение, появление;发生了误会 [fāshēngle wùhuì] — произошло недоразумение
一切;yīqiè;все, весь;
抱;bào;обнимать, охватывать руками;
抱歉;bàoqiàn;сожалеть, выражать сожаление, к сожалению;
感觉;gǎnjué;чувство, ощущение, чувствовать, ощущать;感觉器官 [gǎnjué qìguān] — органы чувств
肯定;kěndìng;несомненно, безусловно;
棒;bàng;палка, здорово, замечательно;木棒 [mùbàng] — деревянная палка; 字写得真棒 [zì xiěde zhēn bàng] — иероглифы написаны просто замечательно
以;yǐ;предлог с помощью, посредством, предлог, употребляется при прямом дополнении, предлог в соответствии с, согласно, по, союз чтобы, для того, чтобы;以新成绩迎接国庆 [yǐ xīn chéngjī yíngjiē guóqìng] — встретить национальный праздник новыми успехами; 给农民以土地 [gěi nóngmín yǐ tǔdì] — дать крестьянам землю
以为;yǐwéi;полагать, считать;
掉;diào;падать, выпадать, ронять;价钱掉了 [jiàqian diàole] — цены упали; 掉眼泪 [diào yǎnlèi] — ронять слёзы
生活;shēnghuó;жизнь, бытие, сущестовование;生活方式 [shēnghuó fāngshì] — образ жизни
之;zhī;показатель определения;原因之一 [yuányīn zhī yī] — одна из причин
任何;rènhé;любой, какой бы то ни было, всякий;
与;yǔ;союз и, союз и;工业与农业 [gōngyè yǔ nóngyè] — промышленность и сельское хозяйство; 这件事与他没有关系 [zhè jiàn shì yǔ tā méiyǒu guānxi] — это дело не имеет к нему отношения
弄;nòng;играть, забавляться;弄小猫 [nòng xiǎomāo] — играть с котёнком
却;què;однако, но, тем не менее;
继续;jìxù;продолжать(ся), продолжение;继续工作 [jìxù gōngzuò] — продолжать работу
够;gòu;достаточно, довольно, хватает;钱不够 [qián bù gòu] — не хватает денег; 够了 ! [gòule] — хватит!, довольно!
父亲;fùqīn;отец;
完全;wánquán;полный, целый, совершенный, законченный;
可是;kěshì;а, но, однако, впрочем;
谈;tán;беседовать, разговаривать, говорить, излагать;我们不谈这个 [wǒmen bùtán zhège] — не будем об этом говорить; 谈自己的看法 [tán zìjǐde kànfǎ] — изложить свою точку зрения
好像;hǎoxiàng;похоже, что…, быть похожим на…, кажется…;好像跟谁生气一样 как будто (словно бы) на кого-то сердится
警察;jǐngchá;полиция, полицейский;
场;chǎng;площадь, площадка, поле;红场 [hóngchǎng] — Красная площадь; 会场 [huìchǎng] — место [зал] заседания
刚;gāng;[en] just (indicating the immediate past); recently; firm
呀;ya;фразовая частица;你快来呀 ! [nǐ kuài lái ya] — иди скорее!
情况;qíngkuàng;обстановка, обстоятельства, положение;
只要;zhǐyào;если только, стоит лишь;
份;fèn;часть, пай, доля, порция;份面包 [yīfèn miànbāo] — порция хлеба
底;dǐ;дно, низ, нижний;海底 [hǎidǐ] — дно моря
到底;dàodǐ;в конце концов, в конечном счёте, всё-таки;
成为;chéngwéi;стать, превратиться в;
永远;yǒngyuǎn;навечно, навсегда, вечно;
安全;ānquán;безопасность, безопасный;安全带 [ānquándài] — ремни безопасности
留;liú;остаться, задержаться;他留在家里了 [tā liú zài jiāli le] — он остался дома; 留胡子 [liú húzi] — отпустить усы [бороду], с усами, с бородой
计划;jìhuà;план, планировать, плановый;计划经济 [jìhuà jīngjì] — плановая экономика; 有计划地 [yǒujìhuàde] — планомерно, в плановом порядке
俩;liǎ;два, оба, вдвоём;
停;tíng;[en] to stop; to halt; to park (a car)
感谢;gǎnxiè;благодарить, благодарность;
敢;gǎn;сметь, осмелиться, мочь;敢说实话 [gǎn shuō shíhuà] — смочь сказать правду
从来;cónglái;всегда, с последующим отрицанием никогда;我从来没有见过他 [wǒ cónglái méiyǒu jiànguo tā] — я никогда (раньше) не видел его
赢;yíng;выиграть, одержать победу, победить;他赢了 [tā yíngle] — он выиграл
消息;xiāoxi;известия, новости, сообщения, сведения;
拉;lā;тянуть, тащить, растягивать, испражняться;拉车 [lāchē] — тащить тележку
原因;yuányīn;причина;
连;lián;соединять(ся), связывать(ся), даже;连你一共五个人 [lián nǐ yīgòng wǔge rén] — вместе с тобой пять человек; 连他也来了 [lián tā yě láile] — пришёл даже он •
确实;quèshí;достоверный, подлинный, действительный;
挺;tǐng;весьма, чрезвычайно, исключительно;挺好 [tǐng hǎo] — исключительно хорошо
保证;bǎozhèng;гарантировать, ручаться, обязываться, гарантия, залог, обязательство;提出保证 [tíchū bǎozhèng] — предоставлять гарантии, давать обязательство
接受;jiēshòu;принимать (напр., приглашение, подарок), воспринять (напр., критику);
改变;gǎibiàn;изменить(ся), переменить(ся);
麻烦;máfan;хлопоты, беспокойство, докучать, беспокоить;对不起 , 麻烦你了 [duìbuqǐ, máfan nǐ le] — извините, что побеспокоил вас, извините за беспокойство; 麻烦你 , 请帮助我 [máfan nǐ, qǐng bāngzhù wǒ] — будьте добры, помогите, пожалуйста
出现;chūxiàn;появиться, возникнуть;
不管;bùguǎn;несмотря на (то, что), независимо от того, как бы ни, будь то, кто бы ни;不管是谁 [bùguǎn shì shuí] — кто бы то ни был
甚至;shènzhì;вплоть до того, что, даже, а то и (даже);
保护;bǎohù;защищать, охранять, охрана;保护国家利益 [bǎohù guójiā lìyì] — защищать интересы страны; 劳动保护 [láodòng bǎohù] — охрана труда
真正;zhēnzhèng;подлинный, настоящий, истинный;
结果;jiéguǒ;результат, итог, в результате, в итоге;
当时;dāngshí;тогда, в то время;
至少;zhìshǎo;самое малое, минимум;
律师;lǜshī;адвокат, юрист;
表演;biǎoyǎn;исполнять, играть (на сцене);
无;wú;не, не иметь, без-;无酒精性饮料 [wújiǔjīngxìng yǐnliào] — безалкогольные напитки
猜;cāi;догадываться, угадывать;猜不出 [cāibuchū] — не угадать, теряться в догадках; 猜谜语 [cāi míyǔ] — разгадывать загадки
咱们;zánmen;мы (включая собеседника);
进行;jìnxíng;проводить, осуществлять;
内;nèi;внутренний;内乱 [nèiluàn] — внутренние беспорядки
是否;shìfǒu;да или нет, ли;他是否能来 ? [tā shìfǒu néng lái] — сможет ли он прийти?
调查;diàochá;обследовать, обследование;人口调查 [rénkǒu diàochá] — перепись населения; 调查表 [diàochábiǎo] — опросный лист, анкета
成功;chénggōng;успех, успешный, завершиться успехом;
考虑;kǎolǜ;обдумывать, взвешивать, учитывать, принимать во внимание;
约会;yuēhuì;договориться о свидании, назначить встречу, свидание;
通过;tōngguò;проходить через, посредством, с помощью;
开心;kāixīn;весело, радостно, радоваться;
母亲;mǔqīn;мать;
主意;zhǔyì;мнение, идея;
倒;dào;перевернуть, повернуть вверх ногами, вверх ногами, вверх дном, задом наперёд;倒放 [dàofàng] — поставить [положить] вверх ногами [вверх дном]; 倒立 [dàolì] — стоять вверх ногами, стойка на руках
解释;jiěshì;объяснять, разъяснять, толковать, толкование;
联系;liánxì;связывать(ся), вступать в контакт, связь;
证明;zhèngmíng;удостоверять, свидетельствовать, подтверждать, доказывать;
生命;shēngmìng;жизнь;牺牲生命 [xīshēng shēngmìng] — пожертвовать жизнью
难道;nándào;неужели, разве;
由;yóu;предлог из, от, с, через;由边门出去 [yóu biānmén chūqu] — выходить через боковую дверь; 由东往西 [yóu dōng wǎng xī] — с востока на запад
指;zhǐ;палец, показывать, указывать;食指 [shízhǐ] — указательный палец; 时针指着十点 [shízhēn zhǐzhe shí diǎn] — часовая стрелка показываетт десять
危险;wēixiǎn;опасность, опасный, угрожающий;
讨厌;tǎoyàn;надоесть, опротиветь, надоедливый, докучливый;
醒;xǐng;проснуться, пробудиться, очнуться, бодрствовать;他醒来了 [tā xǐngláile] — он проснулся [очнулся]
样子;yàngzi;вид, модель, фасон;
有趣;yǒuqù;интересный, интересно, забавно;
提;tí;держать в руке, поднимать, нести, выдвигать, ставить (напр., вопрос);提水 [tíshuǐ] — нести воду (напр., в ведре); 提意见 [tí yìjiàn] — вносить предложение, делать замечание
部分;bùfen;часть, доля;
理解;lǐjiě;понимать, осмысливать: уяснять, разбираться, ориентироваться, понимание;
重;chóng;двойной, повторный, вновь, вторично, повторить;重婚 [chónghūn] — двоебрачие, бигамия, двоежёнство; 重作 [chóngzuò] — сделать ещё раз, сделать заново
任务;rènwu;задача, задание;
使;shǐ;использовать, применять;使化肥 [shǐ huàféi] — применять [использовать] химические удобрения; 这种办法使不得 [zhèzhǒng bànfǎ shǐbudé] — этот способ неприемлем
转;zhuǎn, zhuàn;[en] to turn; to change; pass on | revolve; rotate
博士;bóshì;доктор (наук);博士论文 [bóshì lùnwén] — докторская диссертация
紧张;jǐnzhāng;напрягать(ся), напряжение, взволнованность;紧张局势 [jǐnzhāng júshì] — напряжённая обстановка, напряжённость (напр., в снабжении)
放弃;fàngqì;отказаться, отбросить, оставить, утратить;放弃希望 [fàngqì xīwàng] — оставить надежды; 放弃原则 [fàngqì yuánzé] — отказаться от принципов
大概;dàgài;в общих чертах, приблизительно;
重新;chóngxīn;вновь, снова, заново, пере-;重新登记 [chóngxīn dēngjì] — перерегистрация, перерегистрировать
其中;qízhōng;среди них, в том числе;
来自;láizì;проистекать, происходить, исходить;
本来;běnlái;первоначальный, истинный, изначальный, первоначально;
并且;bìngqiě;к тому же, вместе с тем, и;
直接;zhíjiē;прямой, непосредственный, прямо, непосредственно;
对于;duìyú;относительно, о, об, по (вопросу), по отношению к;
正常;zhèngcháng;нормальный, обычный;
遍;biàn;весь, повсюду;走遍全国 [zǒubiàn quánguó] — объездить всю страну; 我们的朋友遍天下 [wǒmende péngyou biàn tiānxià] — у нас друзья есть повсюду в мире
冷静;lěngjìng;хладнокровный, невозмутимый, трезвый, хладнокровие;
方法;fāngfǎ;метод, способ, средство, приём;方法论 [fāngfǎlùn] — методология
扔;rēng;бросать, кидать;扔球 [rēngqiú] — бросать мяч; 他把没有用的东西扔了 [tā bǎ méiyǒuyòngde dōngxi rēngle] — он выбросил ненужные вещи
能力;nénglì;способность, сила;工作能力 [gōngzuò nénglì] — работоспособность; 他能力不够 [tā nénglì bù gòu] — у него недостаточно сил (для чего-либо)
另外;lìngwài;сверх того, вдобавок, особый, другой, особо, отдельно;
放松;fàngsōng;ослабить;放松腰带 [fàngsōng yāodài] — ослабить пояс [ремень]
丢;diū;потерять, утратить;我丢了钱 [wǒ diūle qián] — я потерял деньги
负责;fùzé;нести ответственность, отвечать за что-либо;
梦;mèng;сон, сновидение, грёзы;作梦 [zuòmèng] — видеть сон, сниться
戴;dài;носить, надевать (головной убор, перчатки, украшения и т.п.);戴眼镜 [dài yǎnjìng] — носить [надеть] очки
错误;cuòwù;ошибка, проступок, ошибочный;犯错误 [fàn cuòwù] — допустить ошибку; 改正错误 [gǎizhèng cuòwù] — исправить ошибку
随便;suíbiàn;как удобнее, как угодно, по-домашнему, свободно, без стеснения, без формальностей, неофициально, без церемонии;
