哦;ó;неужели, как;哦 , 这是他告诉你的 ? [ó zhè shì tā gàosu nǐde] — как, это он тебе сказал?
嘿;hēi;эй;嘿 , 谁在那儿 ? [hēi, shuí zài nàr] — эй, кто там?
嗨;hāi;О!, Да!, Эх!, Эге!;嗨, 咱们工人有力量! Да, есть же силушка у нас, рабочих!
嘛;ma;же (конечная частица предложения, выражающая уверенную констатацию факта, очевидность и несомненность аргумента);这件事他是知道的嘛 [zhèjiàn shì tā shì zhīdaode ma] — ведь об этом он знает; 有错就改嘛 [yǒu cuò jiù gǎi ma] — раз уж допустили ошибку, исправляйте
家伙;jiāhuo;парень, инструмент, орудие, оружие;
啦;la;конечная частица, подчёркивающая: а) удовлетворение, б) становление действия, в) завершённость действия;
喂;wèi, wéi;[en] hey; to feed | hello (on the phone)
哇;wā;звукоподражание детскому лепету, непонятной речи, лепетать, бормотать, бубнить;
拜托;bàituō;будьте добры!, будьте любезны;拜托您带给他一封信 [bàituō nín dài gěi tā yīfeng xìn] — будьте добры, передайте ему письмо
而已;éryǐ;и только (в конце предложения);
夫人;fūrén;жена, супруга, госпожа;
尸体;shītǐ;труп, останки, прах, падаль;
现场;xiànchǎng;место происшествия, место проведения работ и т.п.;
监狱;jiānyù;тюрьма;
啥;shá;что, что такое, какой;啥事 [sháshì] — что за дело?, какое дело?; 啥人 [shárén] — что за человек?, кто такой?
死亡;sǐwáng;смерть, гибель, падёж (скота);死亡营 [sǐwángyíng] — лагерь смерти
拥有;yōngyǒu;обладать, располагать, иметь;
凶手;xiōngshǒu;убийца, душегуб;
屁股;pìgu;зад, задница;香烟屁股 [xiāngyān pìgu] — окурок
选手;xuǎnshǒu;участники состязаний (после отборочных игр);
投票;tóupiào;опускать бюллетень, голосовать, голосование;
撒谎;sāhuǎng;лгать, врать;
武器;wǔqì;оружие;
发誓;fāshì;клясться, давать клятву;
心眼儿;xīnyǎnr;душа, сердце, намерения, помыслы, сообразительность, ум;
意识;yìshí;понимание, осознание;意识到 [yìshídào] — осознавать
线索;xiànsuǒ;нить (напр., сюжетная), ключ (к разгадке);
砸;zá;трамбовать, раздавить;砸死 [zásǐ] — раздавить насмерть
失踪;shīzōng;пропасть без вести, исчезнуть бесследно;
真相;zhēnxiàng;действительное положение, истинная картина, реальность;真相大白 [zhēnxiàng dà bái] — тайное стало явным, правда всплыла наружу
恐怖;kǒngbù;террор, террористический;恐怖分子 [kǒngbù fènzǐ] — террорист
性感;xìnggǎn;плотские чувства;
意味着;yìwèizhe;означать, значить, подразумевать;
交易;jiāoyì;торговля, сделка;
恶心;èxīn;тошнота, рвота, питать величайшее отвращение, с отвращением, через силу;
舞蹈;wǔdào;танец, пляска;
副;fù;помощник, заместитель, вице-;副部长 [fùbùzhǎng] — заместитель министра; 副领事 [fùlǐngshì] — вице-консул
事件;shìjiàn;инцидент, событие;边境事件 [biānjìng shìjiàn] — пограничный инцидент; 恐怖事件 [kǒngbù shìjiàn] — террористический акт
攻击;gōngjī;атаковать, штурмовать;
试图;shìtú;пытаться, делать попытку, пробовать;
淘汰;táotài;отбирать, отбор;自然淘汰 [zìrán táotài] — естественный отбор; 淘汰赛 [táotàisài] — отборочные соревнования
子弹;zǐdàn;патрон, пуля;子弹带 [zǐdàndài] — патронташ
毒品;dúpǐn;наркотики;
袭击;xíjī;атаковать, внезапный удар;
灵魂;línghún;душа, дух;
爆炸;bàozhà;взрываться, разрываться;炮弹没有爆炸 [pàodàn méiyǒu bàozhà] — снаряд не взорвался; 人口爆炸 [rénkǒu bàozhà] — демографический взрыв
玩意儿;wányìr;игрушка;
盯;dīng;уставиться, пристально смотреть на кого-либо/что-либо;大家眼睛直盯着他 [dàjiā yǎnjing zhí dīngzhe tā] — все впились в него глазами
愚蠢;yúchǔn;глупый, тупой, дурацкий;
跟踪;gēnzōng;следовать по пятам, преследовать;
绑架;bǎngjià;похитить, насильственно увести (человека), киднап;
客户;kèhù;клиент, партнёр (напр., торговый);
将军;jiānjūn;генерал, генералитет;
州;zhōu;округ, область;自治州 [zìzhìzhōu] — автономный округ, автономная область
毫无;háowú;совершенно не, совсем не (иметь);毫无保留 [háowú bǎoliú] — безоговорочно; 毫无疑问 [háowú yíwèn] — вне всякого сомнения
逮捕;dàibǔ;арестовать, взять под арест;
成员;chéngyuán;член (какой-либо организации), состав (о людях);成员国 [chéngyuánguó] — страна-член, страна-участница
监视;jiānshì;следить, надзирать, наблюдать за кем-либо;
警告;jǐngào;предупреждать, предостеречь;
尝试;chángshì;пробовать, пытаться;
搭;dā;построить, соорудить, возвести;搭帐篷 [dā zhàngpeng] — поставить палатку; 搭窝 [dāwō] — свить гнездо
搭档;dādàng;партнёр, работать вместе;
对付;duìfu;справиться с чем-либо , осилить что-либо, реагировать на, принимать меры (против чего-либо), противостоять чему-либо;
荣幸;róngxìng;честь, почёт;
队伍;duìwu;отряд, строй, войсковая часть, войска, армия;
同志;tóngzhì;товарищ, единомышленник, разг. гомосексуалист;
偶像;ǒuxiàng;[en] Idol
军队;jūnduì;войска, армия;
侦探;zhēntàn;разведка, разведчик, тайный агент, детектив, сыщик, шпион, шпионить;侦探小说 [zhēntàn xiǎoshuō] — детективный роман
确保;quèbǎo;гарантировать, обеспечить;
耍;shuǎ;размахивать, играть чем-либо, жонглировать;耍大刀 [shuǎ dàdào] — размахивать [жонглировать] мечом
战斗;zhàndòu;бой, сражение, сражаться, боевой;
展示;zhǎnshì;открываться (напр., о перспективе), раскрывать, демонстрировать;
进展;jìnzhǎn;развиваться, прогрессировать, преуспевать;
乐意;lèyì;нравиться, с охотой, охотно;
丢三落四;diūsān làsì;с пятого на десятое;
解雇;jiěgù;уволить, дать расчёт;
时光;shíguāng;время, пора, период времени;
无辜;wúgū;[en] innocent
恐惧;kǒngjù;страх, ужас;
惊讶;jīngyà;удивлять, изумлять, поражаться, изумление, удивление;
事业;shìyè;дело, занятие;事业单位 [shìyè dānwèi] — учреждение, организация; 事业心 [shìyèxīn] — деловитость, деловой подход
不可思议;bùkě sīyì;невообразимый, непостижимый, немыслимый;
案件;ànjiàn;дело (юр.);民事案件 [mínshì ànjiàn] — гражданское дело; 刑事案件 [xíngshì ànjiàn] — уголовное дело
档案;dàng’àn;архивное дело, архив;
协议;xiéyì;согласовывать, консультироваться;达成协议 [dáchéng xiéyì] — достичь соглашения, прийти к соглашению
抢劫;qiǎngjié;грабить, грабёж;抢劫犯 [qiǎngjié fàn] — грабитель
代价;dàijià;цена;
背叛;bèipàn;изменить, предать, измена;
天堂;tiāntáng;рай;
释放;shìfàng;освободить, выпустить на свободу;
执行;zhíxíng;исполнять, приводить в исполнение, выполнять, исполнительный;执行命令 [zhíxíng mìnglìng] — исполнять приказ; 执行计划 [zhíxíng jìhuà] — выполнять план
报警;bàojǐng;[en] report (an incident) to the police
折;zhé;сломать, переломить;折一根树枝 [zhé yī gēn shùzhī] — сломать ветку; 骨折 [gǔzhé] — перелом (кости)
折磨;zhémo;мучить, тиранить, терзать;
卷;juǎn;свёртывать, скручивать, скатывать;卷地毯 [juǎn dìtǎn] — свернуть [скатать] ковёр; 卷头发 [juǎn tóufa] — закрутить волосы
艘;sōu;сч. сл. для кораблей;两艘军舰 [liǎngsōu jūnjiàn] — два военных корабля
罪犯;zuìfàn;преступник;
情报;qíngbào;информация, сведения, донесение, разведданные;科技情报 [kējì qíngbào] — научно-техническая информация
刺;cì;колоть, втыкать, пронзать, жалить;刺穿 [cìchuān] — проткнуть насквозь
暴力;bàolì;насилие, грубая сила;使用暴力 [shǐyòng bàolì] — прибегать к насилию
事故;shìgù;несчастный случай, катастрофа, авария;
神经;shénjīng;нервы, нервный;神经系统 [shénjīng xìtǒng] — нервная система
牺牲;xīshēng;жертва, жертвовать;牺牲生命 [xīshēng shēngmìng] — жертвовать жизнью
